,lane,x,y,yaw,width
0,-1,-406.8370361328125,239.02279663085938,-121.70142364501953,3.5
1,1,-409.8148193359375,240.86203002929688,58.29857635498047,3.5
2,-1,-407.3625183105469,238.1719970703125,-121.70142364501953,3.5
3,1,-410.3403015136719,240.01123046875,58.29857635498047,3.5
4,-1,-407.8880310058594,237.32119750976562,-121.70142364501953,3.5
5,1,-410.8658142089844,239.16043090820312,58.29857635498047,3.5
6,-1,-408.41351318359375,236.47039794921875,-121.70142364501953,3.5
7,1,-411.39129638671875,238.30963134765625,58.29857635498047,3.5
8,-1,-408.9389953613281,235.61959838867188,-121.70142364501953,3.5
9,1,-411.9167785644531,237.45883178710938,58.29857635498047,3.5
10,-1,-409.4645080566406,234.76881408691406,-121.70142364501953,3.5
11,1,-412.4422912597656,236.60804748535156,58.29857635498047,3.5
12,-1,-409.989990234375,233.9180145263672,-121.70142364501953,3.5
13,1,-412.9677734375,235.7572479248047,58.29857635498047,3.5
14,-1,-410.5154724121094,233.0672149658203,-121.70142364501953,3.5
15,1,-413.4932556152344,234.9064483642578,58.29857635498047,3.5
16,-1,-411.0409851074219,232.21641540527344,-121.70142364501953,3.5
17,1,-414.0187683105469,234.05564880371094,58.29857635498047,3.5
18,-1,-411.56646728515625,231.36561584472656,-121.70142364501953,3.5
19,1,-414.54425048828125,233.20484924316406,58.29857635498047,3.5
20,-1,-412.09197998046875,230.5148162841797,-121.70142364501953,3.5
21,1,-415.06976318359375,232.3540496826172,58.29857635498047,3.5
22,-1,-412.6174621582031,229.6640167236328,-121.70142364501953,3.5
23,1,-415.5952453613281,231.5032501220703,58.29857635498047,3.5
24,-1,-413.1429443359375,228.81321716308594,-121.70142364501953,3.5
25,1,-416.1207275390625,230.65245056152344,58.29857635498047,3.5
26,-1,-413.66845703125,227.96241760253906,-121.70142364501953,3.5
27,1,-416.646240234375,229.80165100097656,58.29857635498047,3.5
28,-1,-414.1939392089844,227.11163330078125,-121.70142364501953,3.5
29,1,-417.1717224121094,228.95086669921875,58.29857635498047,3.5
30,-1,-414.71942138671875,226.26083374023438,-121.70142364501953,3.5
31,1,-417.69720458984375,228.10006713867188,58.29857635498047,3.5
